2.93	2.44	2.23	2.57	2.16	2.06	2.2	2.64	4.51	4.76	5.22	4.24
1.73	1.57	1.46	1.61	1.43	1.32	1.47	1.66	1.77	1.68	1.55	1.79
											
1											
0.466	1										
0.530	0.669	1									
0.653	0.605	0.659	1								
0.273	0.245	0.316	0.289	1							
0.261	0.336	0.343	0.343	0.450	1						
0.325	0.351	0.420	0.378	0.430	0.400	1					
0.219	0.260	0.259	0.299	0.241	0.262	0.477	1				
0.208	0.229	0.258	0.326	0.100	0.069	0.187	0.130	1			
0.199	0.253	0.264	0.326	0.087	0.085	0.120	0.099	0.735	1		
0.195	0.166	0.174	0.251	0.101	0.090	0.081	0.155	0.506	0.566	1	
0.278	0.250	0.311	0.400	0.181	0.176	0.151	0.133	0.561	0.607	0.521	1
